Transaction_ID,Customer_ID,Product
1000000000,1,Ketchup
1000000000,1,Shaving Cream
1000000000,1,Light Bulbs
1000000001,2,Ice Cream
1000000001,2,Milk
1000000001,2,Olive Oil
1000000001,2,Bread
1000000001,2,Potatoes
1000000002,3,Spinach
1000000003,4,Tissues
1000000003,4,Mustard
1000000004,5,Dish Soap
1000000005,6,Toothpaste
1000000005,6,Chicken
1000000006,7,Honey
1000000006,7,BBQ Sauce
1000000006,7,Soda
1000000006,7,Olive Oil
1000000006,7,Garden Hose
1000000007,8,Syrup
1000000007,8,Trash Cans
1000000007,8,Pancake Mix
1000000007,8,Water
1000000007,8,Mayonnaise
1000000008,9,Insect Repellent
1000000009,10,Soap
1000000009,10,Baby Wipes
1000000009,10,Soda
1000000010,11,Extension Cords
1000000010,11,Soda
1000000010,11,Water
1000000010,11,Garden Hose
1000000010,11,Cleaning Spray
1000000011,12,Tea
1000000011,12,Paper Towels
1000000011,12,Spinach
1000000012,13,Salmon
1000000012,13,Shaving Cream
1000000013,14,Trash Bags
1000000013,14,Apple
1000000013,14,Mop
1000000013,14,Hair Gel
1000000014,15,Razors
1000000014,15,Laundry Detergent
1000000014,15,Beef
1000000015,16,Cereal
1000000015,16,Vinegar
1000000015,16,Bath Towels
1000000016,17,Air Freshener
1000000016,17,Feminine Hygiene Products
1000000017,18,Power Strips
1000000017,18,Honey
1000000017,18,Ketchup
1000000017,18,Tea
1000000017,18,Shampoo
1000000018,19,Mustard
1000000018,19,Dustpan
1000000019,20,Coffee
1000000020,21,Pancake Mix
1000000020,21,Vacuum Cleaner
1000000021,22,Coffee
1000000021,22,Shaving Cream
1000000022,23,Shrimp
1000000022,23,Iron
1000000022,23,Cleaning Spray
1000000022,23,Toilet Paper
1000000022,23,Peanut Butter
1000000023,24,Dishware
1000000023,24,Pickles
1000000024,25,Sponges
1000000024,25,Vacuum Cleaner
1000000024,25,Iron
1000000025,26,Broom
1000000025,26,Cereal
1000000026,27,Garden Hose
1000000026,27,Trash Cans
1000000027,28,Ketchup
1000000027,28,Trash Cans
1000000027,28,Toothbrush
1000000028,29,Tomatoes
1000000028,29,Salmon
1000000029,30,Tea
1000000029,30,Salmon
1000000029,30,Bath Towels
1000000029,30,Toothpaste
1000000030,31,Olive Oil
1000000031,32,Extension Cords
1000000031,32,Razors
1000000031,32,Chips
1000000031,32,Shampoo
1000000032,33,Apple
1000000032,33,Butter
1000000033,34,Broom
1000000033,34,Chicken
1000000033,34,Spinach
1000000033,34,Broom
1000000034,35,Yogurt
1000000034,35,Ice Cream
1000000034,35,Insect Repellent
1000000035,36,Onions
1000000035,36,Dish Soap
1000000036,37,Tomatoes
1000000036,37,Mustard
1000000036,37,Apple
1000000036,37,Hair Gel
1000000037,38,Garden Hose
1000000038,39,Shower Gel
1000000038,39,Dish Soap
1000000038,39,Plant Fertilizer
1000000038,39,Garden Hose
1000000038,39,Tuna
1000000039,40,Potatoes
1000000039,40,Air Freshener
1000000039,40,Sponges
1000000039,40,Onions
1000000039,40,Laundry Detergent
1000000040,41,Feminine Hygiene Products
1000000041,42,Shaving Cream
1000000041,42,Butter
1000000042,43,Lawn Mower
1000000042,43,Eggs
1000000042,43,Dustpan
1000000042,43,Peanut Butter
1000000042,43,Beef
1000000043,44,Dustpan
1000000043,44,BBQ Sauce
1000000043,44,Toothbrush
1000000043,44,Deodorant
1000000043,44,Dish Soap
1000000044,45,Bread
1000000044,45,Dustpan
1000000044,45,Ketchup
1000000044,45,Ironing Board
1000000045,46,Soap
1000000046,47,Razors
1000000047,48,Pasta
1000000047,48,Olive Oil
1000000048,49,Beef
1000000048,49,Milk
1000000048,49,Salmon
1000000048,49,Shampoo
1000000049,50,Tea
1000000050,51,Hand Sanitizer
1000000050,51,Plant Fertilizer
1000000050,51,Baby Wipes
1000000050,51,Hand Sanitizer
1000000050,51,Power Strips
1000000051,52,Bread
1000000052,53,Vacuum Cleaner
1000000052,53,Apple
1000000052,53,Shrimp
1000000052,53,Trash Bags
1000000052,53,Carrots
1000000053,54,Shrimp
1000000053,54,Cleaning Rags
1000000053,54,Olive Oil
1000000053,54,Soda
1000000054,55,Olive Oil
1000000054,55,Feminine Hygiene Products
1000000054,55,Toothpaste
1000000054,55,Soap
1000000054,55,Bath Towels
1000000055,56,Peanut Butter
1000000056,57,Orange
1000000057,58,Syrup
1000000057,58,Tuna
1000000057,58,Paper Towels
1000000057,58,Toothpaste
1000000057,58,Mustard
1000000058,59,Laundry Detergent
1000000058,59,BBQ Sauce
1000000059,60,Dish Soap
1000000059,60,Shower Gel
1000000059,60,Lawn Mower
1000000059,60,Dustpan
1000000059,60,Toothpaste
1000000060,61,Dustpan
1000000060,61,Bath Towels
1000000060,61,Pickles
1000000060,61,Sponges
1000000061,62,Milk
1000000061,62,Tuna
1000000061,62,Ketchup
1000000061,62,Broom
1000000062,63,Beef
1000000062,63,Bread
1000000062,63,Dustpan
1000000063,64,Pancake Mix
1000000063,64,Dustpan
1000000063,64,Laundry Detergent
1000000063,64,Garden Hose
1000000064,65,Cereal Bars
1000000064,65,Air Freshener
1000000064,65,Honey
1000000064,65,Laundry Detergent
1000000065,66,Banana
1000000065,66,Garden Hose
1000000065,66,Extension Cords
1000000065,66,Toothpaste
1000000065,66,Syrup
1000000066,67,Shrimp
1000000067,68,Broom
1000000067,68,Pickles
1000000067,68,Cleaning Rags
1000000068,69,Peanut Butter
1000000068,69,Lawn Mower
1000000068,69,Syrup
1000000068,69,Chicken
1000000068,69,Toothpaste
1000000069,70,Peanut Butter
1000000069,70,Razors
1000000070,71,Mop
1000000070,71,Laundry Detergent
1000000070,71,Vacuum Cleaner
1000000071,72,Eggs
1000000071,72,Shower Gel
1000000071,72,Olive Oil
1000000072,73,Vinegar
1000000073,74,Shaving Cream
1000000073,74,Apple
1000000073,74,Pickles
1000000074,75,Canned Soup
